,ENTIDAD,NOM_ENT,LOC,NOM_MUN,POBTOT,POBFEM,POBMAS,LATITUD,LONGITUD
145693,25,Sinaloa,648,Culiacán,22,11,11,"24°48'49.426"" N","107°11'03.812"" W"
145694,25,Sinaloa,654,Culiacán,348,164,184,"24°26'05.138"" N","107°07'25.725"" W"
145695,25,Sinaloa,657,Culiacán,479,232,247,"24°21'18.118"" N","107°22'44.747"" W"
145696,25,Sinaloa,666,Culiacán,13,6,7,"24°38'43.281"" N","107°19'58.002"" W"
145697,25,Sinaloa,667,Culiacán,127,50,77,"24°58'38.431"" N","107°24'36.906"" W"
145698,25,Sinaloa,673,Culiacán,15,8,7,"24°41'50.412"" N","107°08'33.724"" W"
145699,25,Sinaloa,674,Culiacán,42,17,25,"24°42'07.748"" N","107°19'57.013"" W"
145700,25,Sinaloa,687,Culiacán,123,60,63,"24°34'00.877"" N","107°07'49.825"" W"
145701,25,Sinaloa,698,Culiacán,545,275,270,"24°16'48.697"" N","107°15'14.399"" W"
145702,25,Sinaloa,702,Culiacán,855,432,423,"24°26'33.037"" N","107°05'41.026"" W"
145703,25,Sinaloa,704,Culiacán,1208,593,615,"24°21'38.821"" N","107°04'33.938"" W"
145704,25,Sinaloa,705,Culiacán,131,64,67,"24°59'06.796"" N","107°11'50.612"" W"
145705,25,Sinaloa,707,Culiacán,32,16,16,"24°39'00.281"" N","107°09'23.269"" W"
145706,25,Sinaloa,708,Culiacán,95,46,49,"24°58'33.230"" N","107°21'55.171"" W"
145707,25,Sinaloa,711,Culiacán,38,16,22,"24°59'14.952"" N","107°23'29.045"" W"
145708,25,Sinaloa,713,Culiacán,744,359,385,"24°56'37.348"" N","107°20'51.384"" W"
145709,25,Sinaloa,714,Culiacán,305,149,156,"24°57'12.273"" N","107°20'27.749"" W"
145710,25,Sinaloa,719,Culiacán,148,75,73,"24°58'14.742"" N","107°10'31.953"" W"
145711,25,Sinaloa,723,Culiacán,80,39,41,"24°39'05.905"" N","107°12'13.667"" W"
145712,25,Sinaloa,724,Culiacán,752,402,350,"24°25'14.740"" N","107°19'49.161"" W"
145713,25,Sinaloa,739,Culiacán,162,74,88,"24°37'48.058"" N","107°04'46.030"" W"
145714,25,Sinaloa,746,Culiacán,5183,2572,2611,"24°53'48.804"" N","107°37'49.850"" W"
145715,25,Sinaloa,752,Culiacán,4,*,*,"24°54'33.854"" N","107°01'18.710"" W"
145716,25,Sinaloa,768,Culiacán,11,*,*,"25°03'07.149"" N","107°15'05.735"" W"
145717,25,Sinaloa,772,Culiacán,205,89,116,"25°01'29.035"" N","107°25'41.266"" W"
145718,25,Sinaloa,794,Culiacán,2,*,*,"24°32'45.033"" N","107°11'35.812"" W"
145719,25,Sinaloa,796,Culiacán,4,*,*,"24°56'07.764"" N","107°34'29.697"" W"
145720,25,Sinaloa,801,Culiacán,3,*,*,"24°56'17.336"" N","107°25'53.327"" W"
145721,25,Sinaloa,810,Culiacán,1,*,*,"24°58'04.076"" N","107°20'22.847"" W"
145722,25,Sinaloa,811,Culiacán,2,*,*,"24°58'44.077"" N","107°20'18.082"" W"
145723,25,Sinaloa,816,Culiacán,53,28,25,"24°55'32.149"" N","107°04'09.175"" W"
145724,25,Sinaloa,817,Culiacán,49,22,27,"24°56'30.401"" N","107°05'06.937"" W"
145725,25,Sinaloa,819,Culiacán,12,7,5,"24°56'30.329"" N","107°05'52.362"" W"
145726,25,Sinaloa,831,Culiacán,78,41,37,"24°54'36.173"" N","107°25'02.735"" W"
145727,25,Sinaloa,833,Culiacán,3,*,*,"24°52'15.344"" N","107°28'15.171"" W"
145728,25,Sinaloa,836,Culiacán,3,*,*,"24°53'08.060"" N","107°20'49.750"" W"
145729,25,Sinaloa,846,Culiacán,159,85,74,"24°48'12.774"" N","107°18'25.099"" W"
145730,25,Sinaloa,854,Culiacán,135,61,74,"24°48'09.389"" N","107°03'51.846"" W"
145731,25,Sinaloa,855,Culiacán,49,23,26,"24°52'47.752"" N","106°59'12.159"" W"
145732,25,Sinaloa,856,Culiacán,38,17,21,"24°50'44.531"" N","106°58'20.069"" W"
145733,25,Sinaloa,857,Culiacán,28,12,16,"24°48'57.031"" N","106°57'16.563"" W"
145734,25,Sinaloa,880,Culiacán,195,96,99,"24°55'47.845"" N","107°24'38.109"" W"
145735,25,Sinaloa,882,Culiacán,2321,1169,1152,"24°48'51.962"" N","107°27'39.440"" W"
145736,25,Sinaloa,884,Culiacán,201,99,102,"24°42'13.767"" N","107°22'52.981"" W"
145737,25,Sinaloa,888,Culiacán,238,112,126,"24°41'29.828"" N","107°22'02.455"" W"
145738,25,Sinaloa,889,Culiacán,288,132,156,"24°41'58.316"" N","107°23'33.426"" W"
145739,25,Sinaloa,890,Culiacán,706,354,352,"24°42'59.947"" N","107°25'44.243"" W"
145740,25,Sinaloa,895,Culiacán,8,*,*,"24°32'02.733"" N","107°29'51.662"" W"
145741,25,Sinaloa,898,Culiacán,5,*,*,"24°28'28.836"" N","107°23'40.736"" W"
145742,25,Sinaloa,902,Culiacán,7,*,*,"24°36'31.358"" N","107°16'44.038"" W"
145743,25,Sinaloa,903,Culiacán,8,3,5,"24°19'28.052"" N","107°24'16.279"" W"
145744,25,Sinaloa,907,Culiacán,5,*,*,"24°54'16.601"" N","107°09'01.499"" W"
145745,25,Sinaloa,919,Culiacán,11,4,7,"24°23'26.062"" N","107°12'16.830"" W"
145746,25,Sinaloa,920,Culiacán,133,77,56,"24°26'53.923"" N","107°05'52.076"" W"
145747,25,Sinaloa,929,Culiacán,179,89,90,"24°36'03.667"" N","107°03'40.835"" W"
145748,25,Sinaloa,933,Culiacán,1018,502,516,"24°41'49.215"" N","107°24'54.651"" W"
145749,25,Sinaloa,934,Culiacán,95,46,49,"24°39'43.040"" N","107°28'12.000"" W"
145750,25,Sinaloa,936,Culiacán,1494,763,731,"24°35'35.827"" N","107°21'10.060"" W"
145751,25,Sinaloa,939,Culiacán,84,40,44,"24°38'39.749"" N","107°02'31.915"" W"
145752,25,Sinaloa,944,Culiacán,118,54,64,"24°34'17.966"" N","107°24'58.130"" W"
145753,25,Sinaloa,960,Culiacán,280,127,153,"24°30'34.713"" N","107°15'52.002"" W"
145754,25,Sinaloa,965,Culiacán,4,*,*,"24°15'18.079"" N","107°06'34.197"" W"
